id,name,type,reason,team,fixture,league
371,Felipe,Missing Fixture,Knee Injury,Atletico Madrid,2021-08-22T17:30:00+00:00,La Liga
2669,M. Hermoso,Missing Fixture,Red Card,Atletico Madrid,2021-08-22T17:30:00+00:00,La Liga
382,H. Herrera,Missing Fixture,Injury,Atletico Madrid,2021-08-22T17:30:00+00:00,La Liga
583,Joao Felix,Missing Fixture,Broken ankle,Atletico Madrid,2021-08-22T17:30:00+00:00,La Liga
10322,Marcos Paulo,Missing Fixture,Thigh Injury,Atletico Madrid,2021-08-22T17:30:00+00:00,La Liga
382,H. Herrera,Missing Fixture,Muscle Injury,Atletico Madrid,2021-08-29T20:00:00+00:00,La Liga
583,Joao Felix,Missing Fixture,Broken ankle,Atletico Madrid,2021-08-29T20:00:00+00:00,La Liga
39,S. Savic,Missing Fixture,Red Card,Atletico Madrid,2021-09-15T19:00:00+00:00,UEFA Champions League
50,Koke,Missing Fixture,Muscle Injury,Atletico Madrid,2021-09-18T14:15:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Muscle Injury,Atletico Madrid,2021-09-18T14:15:00+00:00,La Liga
583,Joao Felix,Missing Fixture,Red Card,Atletico Madrid,2021-09-21T17:30:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Muscle Injury,Atletico Madrid,2021-09-21T17:30:00+00:00,La Liga
926,G. Kondogbia,Questionable,Injury,Atletico Madrid,2021-09-21T17:30:00+00:00,La Liga
583,Joao Felix,Missing Fixture,Red Card,Atletico Madrid,2021-09-25T12:00:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Muscle Injury,Atletico Madrid,2021-09-25T12:00:00+00:00,La Liga
39,S. Savic,Missing Fixture,Red Card,Atletico Madrid,2021-09-28T19:00:00+00:00,UEFA Champions League
39,S. Savic,Missing Fixture,Red Card,Atletico Madrid,2021-10-19T19:00:00+00:00,UEFA Champions League
753,M. Llorente,Missing Fixture,Thigh Injury,Atletico Madrid,2021-10-24T19:00:00+00:00,La Liga
39,S. Savic,Missing Fixture,Muscle Injury,Atletico Madrid,2021-10-24T19:00:00+00:00,La Liga
926,G. Kondogbia,Missing Fixture,Injury,Atletico Madrid,2021-10-28T19:30:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Thigh Injury,Atletico Madrid,2021-10-28T19:30:00+00:00,La Liga
753,M. Llorente,Missing Fixture,Thigh Injury,Atletico Madrid,2021-10-28T19:30:00+00:00,La Liga
926,G. Kondogbia,Missing Fixture,Injury,Atletico Madrid,2021-10-31T15:15:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Thigh Injury,Atletico Madrid,2021-10-31T15:15:00+00:00,La Liga
753,M. Llorente,Missing Fixture,Thigh Injury,Atletico Madrid,2021-10-31T15:15:00+00:00,La Liga
56,A. Griezmann,Missing Fixture,Red Card,Atletico Madrid,2021-11-03T20:00:00+00:00,UEFA Champions League
926,G. Kondogbia,Missing Fixture,Groin Injury,Atletico Madrid,2021-11-03T20:00:00+00:00,UEFA Champions League
45,T. Lemar,Missing Fixture,Thigh Injury,Atletico Madrid,2021-11-03T20:00:00+00:00,UEFA Champions League
753,M. Llorente,Missing Fixture,Thigh Injury,Atletico Madrid,2021-11-03T20:00:00+00:00,UEFA Champions League
41595,I. Saponjic,Missing Fixture,Muscle Injury,Atletico Madrid,2021-11-03T20:00:00+00:00,UEFA Champions League
