id,name,reason,team,fechas_lesion,league,tiempo_lesion
135775,A. Fati,Knee Injury,Barcelona,2021-05-22,La Liga,42 days
135775,A. Fati,Knee Injury,Barcelona,2021-05-16,La Liga,42 days
135775,A. Fati,Knee Injury,Barcelona,2021-05-11,La Liga,42 days
135775,A. Fati,Knee Injury,Barcelona,2021-05-08,La Liga,42 days
135775,A. Fati,Knee Injury,Barcelona,2021-05-02,La Liga,42 days
135775,A. Fati,Knee Injury,Barcelona,2021-04-29,La Liga,42 days
135775,A. Fati,Knee Injury,Barcelona,2021-04-25,La Liga,42 days
135775,A. Fati,Knee Injury,Barcelona,2021-04-22,La Liga,42 days
135775,A. Fati,Knee Injury,Barcelona,2021-04-10,La Liga,42 days
2737,M. Braithwaite,Ankle Injury,Barcelona,2021-05-02,La Liga,10 days
2737,M. Braithwaite,Ankle Injury,Barcelona,2021-04-29,La Liga,10 days
2737,M. Braithwaite,Ankle Injury,Barcelona,2021-04-25,La Liga,10 days
2737,M. Braithwaite,Ankle Injury,Barcelona,2021-04-22,La Liga,10 days
912,Neto,Ankle Injury,Barcelona,2021-04-22,La Liga,12 days
912,Neto,Ankle Injury,Barcelona,2021-04-10,La Liga,12 days
872,M. Pjanic,Injury,Barcelona,2021-04-25,La Liga,0 days
153,O. Dembele,Injury,Barcelona,2021-04-22,La Liga,0 days
147,Coutinho,Knee Injury,Barcelona,2021-05-22,La Liga,42 days
147,Coutinho,Knee Injury,Barcelona,2021-05-16,La Liga,42 days
147,Coutinho,Knee Injury,Barcelona,2021-05-11,La Liga,42 days
147,Coutinho,Knee Injury,Barcelona,2021-05-08,La Liga,42 days
147,Coutinho,Knee Injury,Barcelona,2021-05-02,La Liga,42 days
147,Coutinho,Knee Injury,Barcelona,2021-04-29,La Liga,42 days
147,Coutinho,Knee Injury,Barcelona,2021-04-25,La Liga,42 days
147,Coutinho,Knee Injury,Barcelona,2021-04-22,La Liga,42 days
147,Coutinho,Knee Injury,Barcelona,2021-04-10,La Liga,42 days
141,M. Wague,Knee Injury,Barcelona,2021-05-22,La Liga,6 days
141,M. Wague,Knee Injury,Barcelona,2021-05-16,La Liga,6 days
137,S. Roberto,Muscle Injury,Barcelona,2021-05-22,La Liga,6 days
137,S. Roberto,Muscle Injury,Barcelona,2021-05-16,La Liga,6 days
127,M. ter Stegen,Knee Injury,Barcelona,2021-05-22,La Liga,0 days
