id,name,type,reason,team,fechas_lesion,league,tiempo_lesion
1257,J. Kounde,Missing Fixture,Injury,Barcelona,2022-08-13,La Liga,283 days
2282,A. Christensen,Missing Fixture,Illness,Barcelona,2022-08-28,La Liga,241 days
137,S. Roberto,Missing Fixture,Injury,Barcelona,2022-09-10,La Liga,234 days
137,S. Roberto,Missing Fixture,Injury,Barcelona,2022-09-17,La Liga,234 days
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-01,La Liga,246 days
1439,H. Bellerin,Missing Fixture,Foot Injury,Barcelona,2022-10-01,La Liga,39 days
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-10-01,La Liga,38 days
1257,J. Kounde,Missing Fixture,Muscle Injury,Barcelona,2022-10-01,La Liga,283 days
538,F. de Jong,Missing Fixture,Thigh Injury,Barcelona,2022-10-01,La Liga,197 days
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-04,UEFA Champions League,246 days
1439,H. Bellerin,Missing Fixture,Foot Injury,Barcelona,2022-10-04,UEFA Champions League,39 days
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-10-04,UEFA Champions League,38 days
1257,J. Kounde,Missing Fixture,Muscle Injury,Barcelona,2022-10-04,UEFA Champions League,283 days
538,F. de Jong,Missing Fixture,Thigh Injury,Barcelona,2022-10-04,UEFA Champions League,197 days
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-09,La Liga,246 days
1439,H. Bellerin,Missing Fixture,Foot Injury,Barcelona,2022-10-09,La Liga,39 days
2282,A. Christensen,Missing Fixture,Ankle Injury,Barcelona,2022-10-09,La Liga,241 days
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-10-09,La Liga,38 days
1642,F. Kessie,Missing Fixture,Thigh Injury,Barcelona,2022-10-09,La Liga,30 days
1257,J. Kounde,Missing Fixture,Muscle Injury,Barcelona,2022-10-09,La Liga,283 days
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-12,UEFA Champions League,246 days
1439,H. Bellerin,Missing Fixture,Foot Injury,Barcelona,2022-10-12,UEFA Champions League,39 days
2282,A. Christensen,Missing Fixture,Ankle Injury,Barcelona,2022-10-12,UEFA Champions League,241 days
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-10-12,UEFA Champions League,38 days
1257,J. Kounde,Missing Fixture,Muscle Injury,Barcelona,2022-10-12,UEFA Champions League,283 days
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-16,La Liga,246 days
1439,H. Bellerin,Missing Fixture,Foot Injury,Barcelona,2022-10-16,La Liga,39 days
2282,A. Christensen,Missing Fixture,Ankle Injury,Barcelona,2022-10-16,La Liga,241 days
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-10-16,La Liga,38 days
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-20,La Liga,246 days
2282,A. Christensen,Missing Fixture,Ankle Injury,Barcelona,2022-10-20,La Liga,241 days
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-10-20,La Liga,38 days
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-23,La Liga,246 days
2282,A. Christensen,Missing Fixture,Ankle Injury,Barcelona,2022-10-23,La Liga,241 days
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-10-23,La Liga,38 days
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-26,UEFA Champions League,246 days
2282,A. Christensen,Missing Fixture,Ankle Injury,Barcelona,2022-10-26,UEFA Champions League,241 days
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-10-26,UEFA Champions League,38 days
137,S. Roberto,Missing Fixture,Shoulder Injury,Barcelona,2022-10-26,UEFA Champions League,234 days
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-29,La Liga,246 days
2282,A. Christensen,Missing Fixture,Ankle Injury,Barcelona,2022-10-29,La Liga,241 days
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-10-29,La Liga,38 days
137,S. Roberto,Missing Fixture,Shoulder Injury,Barcelona,2022-10-29,La Liga,234 days
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-11-01,UEFA Champions League,246 days
2282,A. Christensen,Missing Fixture,Ankle Injury,Barcelona,2022-11-01,UEFA Champions League,241 days
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-11-01,UEFA Champions League,38 days
619,E. Garcia,Missing Fixture,Thigh Injury,Barcelona,2022-11-01,UEFA Champions League,0 days
1257,J. Kounde,Missing Fixture,Muscle Injury,Barcelona,2022-11-01,UEFA Champions League,283 days
521,R. Lewandowski,Missing Fixture,Rest,Barcelona,2022-11-01,UEFA Champions League,124 days
137,S. Roberto,Missing Fixture,Shoulder Injury,Barcelona,2022-11-01,UEFA Champions League,234 days
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-11-05,La Liga,246 days
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-11-05,La Liga,38 days
1642,F. Kessie,Missing Fixture,Thigh Injury,Barcelona,2022-11-05,La Liga,30 days
1257,J. Kounde,Missing Fixture,Muscle Injury,Barcelona,2022-11-05,La Liga,283 days
137,S. Roberto,Missing Fixture,Shoulder Injury,Barcelona,2022-11-05,La Liga,234 days
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-11-08,La Liga,246 days
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-11-08,La Liga,38 days
1642,F. Kessie,Missing Fixture,Thigh Injury,Barcelona,2022-11-08,La Liga,30 days
1257,J. Kounde,Missing Fixture,Muscle Injury,Barcelona,2022-11-08,La Liga,283 days
137,S. Roberto,Missing Fixture,Shoulder Injury,Barcelona,2022-11-08,La Liga,234 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-02-01,La Liga,84 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-02-05,La Liga,84 days
144,S. Busquets,Missing Fixture,Ankle Injury,Barcelona,2023-02-12,La Liga,287 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-02-12,La Liga,84 days
144,S. Busquets,Missing Fixture,Ankle Injury,Barcelona,2023-02-16,UEFA Europa League,287 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-02-16,UEFA Europa League,84 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-02-19,La Liga,84 days
133609,Pedri,Missing Fixture,Thigh Injury,Barcelona,2023-02-19,La Liga,105 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-02-23,UEFA Europa League,84 days
133609,Pedri,Missing Fixture,Thigh Injury,Barcelona,2023-02-23,UEFA Europa League,105 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-02-26,La Liga,84 days
135775,A. Fati,Missing Fixture,Knee Injury,Barcelona,2023-02-26,La Liga,0 days
133609,Pedri,Missing Fixture,Thigh Injury,Barcelona,2023-02-26,La Liga,105 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-03-05,La Liga,84 days
521,R. Lewandowski,Missing Fixture,Muscle Injury,Barcelona,2023-03-05,La Liga,124 days
133609,Pedri,Missing Fixture,Thigh Injury,Barcelona,2023-03-05,La Liga,105 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-03-12,La Liga,84 days
133609,Pedri,Missing Fixture,Thigh Injury,Barcelona,2023-03-12,La Liga,105 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-03-19,La Liga,84 days
133609,Pedri,Missing Fixture,Thigh Injury,Barcelona,2023-03-19,La Liga,105 days
2282,A. Christensen,Missing Fixture,Calf Injury,Barcelona,2023-04-01,La Liga,241 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-04-01,La Liga,84 days
133609,Pedri,Missing Fixture,Thigh Injury,Barcelona,2023-04-01,La Liga,105 days
538,F. de Jong,Missing Fixture,Hamstring Injury,Barcelona,2023-04-01,La Liga,197 days
2282,A. Christensen,Missing Fixture,Calf Injury,Barcelona,2023-04-10,La Liga,241 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-04-10,La Liga,84 days
133609,Pedri,Missing Fixture,Thigh Injury,Barcelona,2023-04-10,La Liga,105 days
538,F. de Jong,Missing Fixture,Hamstring Injury,Barcelona,2023-04-10,La Liga,197 days
2282,A. Christensen,Missing Fixture,Calf Injury,Barcelona,2023-04-16,La Liga,241 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-04-16,La Liga,84 days
133609,Pedri,Missing Fixture,Thigh Injury,Barcelona,2023-04-16,La Liga,105 days
538,F. de Jong,Missing Fixture,Hamstring Injury,Barcelona,2023-04-16,La Liga,197 days
2282,A. Christensen,Missing Fixture,Calf Injury,Barcelona,2023-04-23,La Liga,241 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-04-23,La Liga,84 days
137,S. Roberto,Missing Fixture,Muscle Injury,Barcelona,2023-04-23,La Liga,234 days
2282,A. Christensen,Missing Fixture,Calf Injury,Barcelona,2023-04-26,La Liga,241 days
153,O. Dembele,Missing Fixture,Muscle Injury,Barcelona,2023-04-26,La Liga,84 days
