id,name,type,reason,team,fixture,league
147,Coutinho,Missing Fixture,Knee Injury,Barcelona,2021-04-10T19:00:00+00:00,La Liga
135775,A. Fati,Missing Fixture,Knee Injury,Barcelona,2021-04-10T19:00:00+00:00,La Liga
912,Neto,Missing Fixture,Ankle Injury,Barcelona,2021-04-10T19:00:00+00:00,La Liga
2737,M. Braithwaite,Missing Fixture,Ankle Injury,Barcelona,2021-04-22T20:00:00+00:00,La Liga
147,Coutinho,Missing Fixture,Knee Injury,Barcelona,2021-04-22T20:00:00+00:00,La Liga
153,O. Dembele,Missing Fixture,Injury,Barcelona,2021-04-22T20:00:00+00:00,La Liga
135775,A. Fati,Missing Fixture,Knee Injury,Barcelona,2021-04-22T20:00:00+00:00,La Liga
912,Neto,Missing Fixture,Ankle Injury,Barcelona,2021-04-22T20:00:00+00:00,La Liga
2737,M. Braithwaite,Missing Fixture,Ankle Injury,Barcelona,2021-04-25T14:15:00+00:00,La Liga
147,Coutinho,Missing Fixture,Knee Injury,Barcelona,2021-04-25T14:15:00+00:00,La Liga
135775,A. Fati,Missing Fixture,Knee Injury,Barcelona,2021-04-25T14:15:00+00:00,La Liga
872,M. Pjanic,Missing Fixture,Injury,Barcelona,2021-04-25T14:15:00+00:00,La Liga
2737,M. Braithwaite,Missing Fixture,Ankle Injury,Barcelona,2021-04-29T17:00:00+00:00,La Liga
147,Coutinho,Missing Fixture,Knee Injury,Barcelona,2021-04-29T17:00:00+00:00,La Liga
135775,A. Fati,Missing Fixture,Knee Injury,Barcelona,2021-04-29T17:00:00+00:00,La Liga
2737,M. Braithwaite,Missing Fixture,Ankle Injury,Barcelona,2021-05-02T19:00:00+00:00,La Liga
147,Coutinho,Missing Fixture,Knee Injury,Barcelona,2021-05-02T19:00:00+00:00,La Liga
135775,A. Fati,Missing Fixture,Knee Injury,Barcelona,2021-05-02T19:00:00+00:00,La Liga
147,Coutinho,Missing Fixture,Knee Injury,Barcelona,2021-05-08T14:15:00+00:00,La Liga
135775,A. Fati,Missing Fixture,Knee Injury,Barcelona,2021-05-08T14:15:00+00:00,La Liga
147,Coutinho,Missing Fixture,Knee Injury,Barcelona,2021-05-11T20:00:00+00:00,La Liga
135775,A. Fati,Missing Fixture,Knee Injury,Barcelona,2021-05-11T20:00:00+00:00,La Liga
147,Coutinho,Missing Fixture,Knee Injury,Barcelona,2021-05-16T16:30:00+00:00,La Liga
135775,A. Fati,Missing Fixture,Knee Injury,Barcelona,2021-05-16T16:30:00+00:00,La Liga
137,S. Roberto,Missing Fixture,Muscle Injury,Barcelona,2021-05-16T16:30:00+00:00,La Liga
141,M. Wague,Missing Fixture,Knee Injury,Barcelona,2021-05-16T16:30:00+00:00,La Liga
538,F. de Jong,Missing Fixture,Suspended,Barcelona,2021-05-16T16:30:00+00:00,La Liga
147,Coutinho,Missing Fixture,Knee Injury,Barcelona,2021-05-22T16:00:00+00:00,La Liga
135775,A. Fati,Missing Fixture,Knee Injury,Barcelona,2021-05-22T16:00:00+00:00,La Liga
133,C. Lenglet,Missing Fixture,Suspended,Barcelona,2021-05-22T16:00:00+00:00,La Liga
154,L. Messi,Missing Fixture,Rest,Barcelona,2021-05-22T16:00:00+00:00,La Liga
133609,Pedri,Missing Fixture,Rest,Barcelona,2021-05-22T16:00:00+00:00,La Liga
137,S. Roberto,Missing Fixture,Muscle Injury,Barcelona,2021-05-22T16:00:00+00:00,La Liga
141,M. Wague,Missing Fixture,Knee Injury,Barcelona,2021-05-22T16:00:00+00:00,La Liga
127,M. ter Stegen,Missing Fixture,Knee Injury,Barcelona,2021-05-22T16:00:00+00:00,La Liga
