id,name,firstname,age,birth_date,nationality,height,weight,injured,league,team,season,games_appearances,games_lineups,games_minutes,games_position
132,Guillem Jaime,Guillem,24,1999-01-06,Spain,177 cm,70 kg,False,La Liga,Barcelona,2021,0,0,0,Defender
132,Guillem Jaime,Guillem,24,1999-01-06,Spain,177 cm,70 kg,False,Copa del Rey,Barcelona,2021,0,0,0,Defender
132,Guillem Jaime,Guillem,24,1999-01-06,Spain,177 cm,70 kg,False,Friendlies Clubs,Barcelona,2021,1,0,30,Defender
136,Piqué,Gerard,35,1987-02-02,Spain,194 cm,85 kg,False,La Liga,Barcelona,2021,27,25,2096,Defender
136,Piqué,Gerard,35,1987-02-02,Spain,194 cm,85 kg,False,Copa del Rey,Barcelona,2021,2,1,164,Defender
136,Piqué,Gerard,35,1987-02-02,Spain,194 cm,85 kg,False,UEFA Europa League,Barcelona,2021,5,4,328,Defender
136,Piqué,Gerard,35,1987-02-02,Spain,194 cm,85 kg,False,UEFA Champions League,Barcelona,2021,5,5,393,Defender
136,Piqué,Gerard,35,1987-02-02,Spain,194 cm,85 kg,False,Club Friendlies,Barcelona,2021,3,3,196,Defender
138,J. Todibo,,24,,,,,False,Friendlies Clubs,Barcelona,2021,0,0,0,Defender
139,S. Umtiti,Samuel Yves,30,1993-11-14,France,182 cm,75 kg,False,La Liga,Barcelona,2021,1,1,90,Defender
139,S. Umtiti,Samuel Yves,30,1993-11-14,France,182 cm,75 kg,False,Copa del Rey,Barcelona,2021,0,0,0,Defender
139,S. Umtiti,Samuel Yves,30,1993-11-14,France,182 cm,75 kg,False,UEFA Champions League,Barcelona,2021,0,0,0,Defender
139,S. Umtiti,Samuel Yves,30,1993-11-14,France,182 cm,75 kg,False,UEFA Europa League,Barcelona,2021,0,0,0,Defender
139,S. Umtiti,Samuel Yves,30,1993-11-14,France,182 cm,75 kg,False,Friendlies Clubs,Barcelona,2021,3,2,110,Defender
141,M. Wagué,Moussa,25,1998-10-04,Senegal,177 cm,70 kg,False,Friendlies Clubs,Barcelona,2021,0,0,0,Defender
147,Philippe Coutinho,Philippe,31,1992-06-12,Brazil,172 cm,68 kg,False,La Liga,Barcelona,2021,12,5,499,Midfielder
147,Philippe Coutinho,Philippe,31,1992-06-12,Brazil,172 cm,68 kg,False,Copa del Rey,Barcelona,2021,0,0,0,Midfielder
147,Philippe Coutinho,Philippe,31,1992-06-12,Brazil,172 cm,68 kg,False,UEFA Europa League,Barcelona,2021,0,0,0,Midfielder
147,Philippe Coutinho,Philippe,31,1992-06-12,Brazil,172 cm,68 kg,False,UEFA Champions League,Barcelona,2021,4,0,107,Midfielder
147,Philippe Coutinho,Philippe,31,1992-06-12,Brazil,172 cm,68 kg,False,Friendlies Clubs,Barcelona,2021,1,1,60,Midfielder
153,O. Dembélé,,26,,,,,False,La Liga,Barcelona,2021,21,15,1412,Attacker
153,O. Dembélé,,26,,,,,False,Copa del Rey,Barcelona,2021,1,0,44,Attacker
153,O. Dembélé,,26,,,,,False,UEFA Champions League,Barcelona,2021,3,1,122,Attacker
153,O. Dembélé,,26,,,,,False,UEFA Europa League,Barcelona,2021,6,1,247,Attacker
153,O. Dembélé,,26,,,,,False,Friendlies Clubs,Barcelona,2021,0,0,0,Attacker
246,L. de Jong,Luuk,33,1990-08-27,Netherlands,188 cm,86 kg,False,La Liga,Barcelona,2021,21,6,641,Attacker
246,L. de Jong,Luuk,33,1990-08-27,Netherlands,188 cm,86 kg,False,Copa del Rey,Barcelona,2021,0,0,0,Attacker
246,L. de Jong,Luuk,33,1990-08-27,Netherlands,188 cm,86 kg,False,UEFA Champions League,Barcelona,2021,3,3,180,Attacker
246,L. de Jong,Luuk,33,1990-08-27,Netherlands,188 cm,86 kg,False,UEFA Europa League,Barcelona,2021,4,0,50,Attacker
246,L. de Jong,Luuk,33,1990-08-27,Netherlands,188 cm,86 kg,False,Friendlies Clubs,Barcelona,2021,0,0,0,Attacker
256,Dani Alves,Daniel,40,1983-05-06,Brazil,172 cm,70 kg,False,UEFA Champions League,Barcelona,2021,0,0,0,Defender
256,Dani Alves,Daniel,40,1983-05-06,Brazil,172 cm,70 kg,False,Club Friendlies,Barcelona,2021,1,1,90,Defender
256,Dani Alves,Daniel,40,1983-05-06,Brazil,172 cm,70 kg,False,La Liga,Barcelona,2021,0,0,0,Defender
256,Dani Alves,Daniel,40,1983-05-06,Brazil,172 cm,70 kg,False,Copa del Rey,Barcelona,2021,0,0,0,Defender
256,Dani Alves,Daniel,40,1983-05-06,Brazil,172 cm,70 kg,False,UEFA Europa League,Barcelona,2021,0,0,0,Defender
642,S. Agüero,Sergio Leonel,33,1988-06-02,Argentina,173 cm,70 kg,False,La Liga,Barcelona,2021,4,2,151,Attacker
642,S. Agüero,Sergio Leonel,33,1988-06-02,Argentina,173 cm,70 kg,False,Copa del Rey,Barcelona,2021,0,0,0,Attacker
642,S. Agüero,Sergio Leonel,33,1988-06-02,Argentina,173 cm,70 kg,False,UEFA Champions League,Barcelona,2021,1,0,15,Attacker
642,S. Agüero,Sergio Leonel,33,1988-06-02,Argentina,173 cm,70 kg,False,Club Friendlies,Barcelona,2021,0,0,0,Attacker
872,M. Pjanić,Miralem,33,1990-04-02,Bosnia and Herzegovina,178 cm,72 kg,False,La Liga,Barcelona,2021,0,0,0,Midfielder
872,M. Pjanić,Miralem,33,1990-04-02,Bosnia and Herzegovina,178 cm,72 kg,False,Friendlies Clubs,Barcelona,2021,3,1,88,Midfielder
33085,H. Abe,Hiroki,24,1999-01-28,Japan,173 cm,64 kg,False,Club Friendlies,Barcelona,2021,1,0,44,Attacker
33085,H. Abe,Hiroki,24,1999-01-28,Japan,173 cm,64 kg,False,Friendlies Clubs,Barcelona,2021,1,0,44,Attacker
46725,R. Manaj,Rey,26,1997-02-24,Albania,182 cm,76 kg,False,Club Friendlies,Barcelona,2021,4,1,104,Attacker
