id,name,firstname,age,birth_date,nationality,height,weight,injured,league,team,season,games_appearances,games_lineups,games_minutes,games_position,total_minutes_y,reason,tiempo_lesion
136,Piqué,Gerard,33,1987-02-02 00:00:00.000000,Spain,194 cm,85 kg,False,La Liga,Barcelona,2020,18,18,1485,Defender,2032,,
136,Piqué,Gerard,33,1987-02-02 00:00:00.000000,Spain,194 cm,85 kg,False,Copa del Rey,Barcelona,2020,2,2,202,Defender,2032,,
136,Piqué,Gerard,33,1987-02-02 00:00:00.000000,Spain,194 cm,85 kg,False,UEFA Champions League,Barcelona,2020,3,3,236,Defender,2032,,
136,Piqué,Gerard,33,1987-02-02 00:00:00.000000,Spain,194 cm,85 kg,False,Club Friendlies,Barcelona,2020,2,2,109,Defender,2032,,
141,M. Wagué,Moussa,22,1998-10-04 00:00:00.000000,Senegal,177 cm,70 kg,True,Club Friendlies,Barcelona,2020,0,0,0,Defender,0,Knee Injury,6 days
142,Rafinha,Rafael,28,1992-02-12 00:00:00.000000,Brazil,174 cm,71 kg,False,La Liga,Barcelona,2020,0,0,0,Midfielder,0,,
142,Rafinha,Rafael,28,1992-02-12 00:00:00.000000,Brazil,174 cm,71 kg,False,UEFA Champions League,Barcelona,2020,0,0,0,Midfielder,0,,
142,Rafinha,Rafael,28,1992-02-12 00:00:00.000000,Brazil,174 cm,71 kg,False,Club Friendlies,Barcelona,2020,0,0,0,Midfielder,0,,
144,Sergio Busquets,Sergio,32,1988-07-16 00:00:00.000000,Spain,189 cm,73 kg,False,La Liga,Barcelona,2020,36,32,2529,Midfielder,3443,,
144,Sergio Busquets,Sergio,32,1988-07-16 00:00:00.000000,Spain,189 cm,73 kg,False,Copa del Rey,Barcelona,2020,6,5,470,Midfielder,3443,,
144,Sergio Busquets,Sergio,32,1988-07-16 00:00:00.000000,Spain,189 cm,73 kg,False,UEFA Champions League,Barcelona,2020,6,4,335,Midfielder,3443,,
144,Sergio Busquets,Sergio,32,1988-07-16 00:00:00.000000,Spain,189 cm,73 kg,False,Club Friendlies,Barcelona,2020,2,2,109,Midfielder,3443,,
147,Philippe Coutinho,Philippe,28,1992-06-12 00:00:00.000000,Brazil,172 cm,68 kg,True,La Liga,Barcelona,2020,12,8,657,Midfielder,899,Knee Injury,42 days
147,Philippe Coutinho,Philippe,28,1992-06-12 00:00:00.000000,Brazil,172 cm,68 kg,True,Copa del Rey,Barcelona,2020,0,0,0,Midfielder,899,Knee Injury,42 days
147,Philippe Coutinho,Philippe,28,1992-06-12 00:00:00.000000,Brazil,172 cm,68 kg,True,UEFA Champions League,Barcelona,2020,2,2,135,Midfielder,899,Knee Injury,42 days
147,Philippe Coutinho,Philippe,28,1992-06-12 00:00:00.000000,Brazil,172 cm,68 kg,True,Club Friendlies,Barcelona,2020,2,1,107,Midfielder,899,Knee Injury,42 days
151,A. Vidal,Arturo Erasmo,33,1987-05-22 00:00:00.000000,Chile,180 cm,75 kg,False,La Liga,Barcelona,2020,0,0,0,Midfielder,0,,
151,A. Vidal,Arturo Erasmo,33,1987-05-22 00:00:00.000000,Chile,180 cm,75 kg,False,Club Friendlies,Barcelona,2020,0,0,0,Midfielder,0,,
153,O. Dembélé,,-2,2023-12-05 13:02:53.408556,,,,True,La Liga,Barcelona,2020,30,19,1776,Attacker,2565,Injury,0 days
