id,name,firstname,age,birth_date,nationality,height,weight,injured,league,team,season,games_appearances,games_lineups,games_minutes,games_position,total_minutes,reason,tiempo_lesion_2,tiempo_lesion,numero_lesiones_jugador
132,Guillem Jaime,Guillem,22,1999-01-06 00:00:00.000000,Spain,177 cm,70 kg,False,Club Friendlies,Barcelona,2022,0.0,0.0,0.0,Defender,0,,,,
136,Piqué,Gerard,34,1987-02-02 00:00:00.000000,Spain,194 cm,85 kg,False,La Liga,Barcelona,2022,6.0,4.0,382.0,Defender,795,,,,
136,Piqué,Gerard,34,1987-02-02 00:00:00.000000,Spain,194 cm,85 kg,False,UEFA Champions League,Barcelona,2022,4.0,2.0,256.0,Defender,795,,,,
136,Piqué,Gerard,34,1987-02-02 00:00:00.000000,Spain,194 cm,85 kg,False,Club Friendlies,Barcelona,2022,4.0,1.0,157.0,Defender,795,,,,
147,Philippe Coutinho,Philippe,29,1992-06-12 00:00:00.000000,Brazil,172 cm,68 kg,False,Club Friendlies,Barcelona,2022,0.0,0.0,0.0,Midfielder,0,,,,
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,La Liga,Barcelona,2022,25.0,16.0,1415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Copa del Rey,Barcelona,2022,2.0,2.0,189.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Europa League,Barcelona,2022,0.0,0.0,0.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,UEFA Champions League,Barcelona,2022,6.0,5.0,415.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Club Friendlies,Barcelona,2022,4.0,2.0,169.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Club Friendlies,Barcelona,2022,4.0,2.0,169.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Club Friendlies,Barcelona,2022,4.0,2.0,169.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
153,O. Dembélé,,-1,2023-12-06 16:56:12.129662,,,,True,Club Friendlies,Barcelona,2022,4.0,2.0,169.0,Attacker,2188,Muscle Injury,33.0,84 days,1.0
